environment,benchmark,metric,unit,sample_count,valid_count,mean,median,stdev,cv_percent,min,max,p50,p95,p99
host,cpu_deterministic,elapsed_sec,s,12,12,0.012729,0.012112,0.003444,27.0549,0.008742,0.018207,0.012112,0.018052,0.018176
host,cpu_deterministic,gflops,GFLOPS,12,12,4.236683,4.27665,1.003961,23.6969,2.6777,5.4905,4.27665,5.478125,5.488025
host,cpu_deterministic,iteration,,9,9,2.333333,2.0,1.414214,60.6092,1.0,5.0,2.0,4.6,4.92
host,cpu_deterministic,max_rss_kb,KB,12,12,1616.0,1548.0,151.616742,9.3822,1548.0,2060.0,1548.0,1862.0,2020.4
host,cpu_deterministic,parameters.iterations,,12,12,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
host,cpu_deterministic,parameters.matrix_size,,12,12,204.166667,200.0,14.433757,7.0696,200.0,250.0,200.0,222.5,244.5
host,cpu_deterministic,parameters.threads,,12,12,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
host,cpu_deterministic,parameters.warmup,,12,12,0.25,0.0,0.452267,180.9068,0.0,1.0,0.0,1.0,1.0
host,cpu_deterministic,system_time_sec,s,12,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,cpu_deterministic,telemetry.cpu_percentage,%,12,12,96.5,100.0,4.379705,4.5386,90.0,100.0,100.0,100.0,100.0
host,cpu_deterministic,telemetry.max_rss_kb,KB,12,12,1616.0,1548.0,151.616742,9.3822,1548.0,2060.0,1548.0,1862.0,2020.4
host,cpu_deterministic,telemetry.system_time_sec,s,12,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,cpu_deterministic,telemetry.user_time_sec,s,12,12,0.011667,0.01,0.005774,49.4872,0.0,0.02,0.01,0.02,0.02
host,cpu_deterministic,telemetry.vsz_kb,,12,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,cpu_deterministic,telemetry.wall_time_sec,s,12,12,0.013333,0.01,0.006513,48.8504,0.01,0.03,0.01,0.0245,0.0289
host,cpu_deterministic,total_flops,,12,12,51812500.0,48000000.0,13206887.407713,25.4898,48000000.0,93750000.0,48000000.0,68587500.0,88717500.0
host,cpu_deterministic,user_time_sec,s,12,12,0.011667,0.01,0.005774,49.4872,0.0,0.02,0.01,0.02,0.02
host,cpu_deterministic,wall_time_sec,s,12,12,0.013333,0.01,0.006513,48.8504,0.01,0.03,0.01,0.0245,0.0289
host,cpu_deterministic,warmup_elapsed_sec,,12,12,0.001451,0.0,0.002882,198.6287,0.0,0.008651,0.0,0.007021,0.008325
host,memory_deterministic,allocated_bytes,,12,12,67108864.0,67108864.0,0.0,0.0,67108864.0,67108864.0,67108864.0,67108864.0,67108864.0
host,memory_deterministic,cpu_percentage,%,12,12,98.916667,99.0,0.792961,0.8016,98.0,100.0,99.0,100.0,100.0
host,memory_deterministic,elapsed_sec,s,12,12,0.114715,0.106488,0.015991,13.9399,0.097946,0.144945,0.106488,0.143474,0.144651
host,memory_deterministic,iteration,,9,9,2.333333,2.0,1.414214,60.6092,1.0,5.0,2.0,4.6,4.92
host,memory_deterministic,max_rss_kb,KB,12,12,66070.666667,66124.0,65.910867,0.0998,65996.0,66124.0,66124.0,66124.0,66124.0
host,memory_deterministic,parameters.buffer_mb,,12,12,64.0,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0
host,memory_deterministic,parameters.passes,,12,12,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
